"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\nk23a\OneDrive\Desktop\Work\DigitalMediaWebsite\digitalmedia\src\App.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\nk23a\OneDrive\Desktop\Work\DigitalMediaWebsite\digitalmedia\src\App.js", "JavaScript", 15, 0, 0, 0, 2, 17
"c:\Users\nk23a\OneDrive\Desktop\Work\DigitalMediaWebsite\digitalmedia\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"c:\Users\nk23a\OneDrive\Desktop\Work\DigitalMediaWebsite\digitalmedia\src\Effects.js", "JavaScript", 54, 0, 0, 0, 3, 57
"c:\Users\nk23a\OneDrive\Desktop\Work\DigitalMediaWebsite\digitalmedia\src\Galaxy.js", "JavaScript", 253, 0, 0, 8, 55, 316
"c:\Users\nk23a\OneDrive\Desktop\Work\DigitalMediaWebsite\digitalmedia\src\Navbar.css", "CSS", 0, 59, 0, 0, 9, 68
"c:\Users\nk23a\OneDrive\Desktop\Work\DigitalMediaWebsite\digitalmedia\src\Navbar.js", "JavaScript", 24, 0, 0, 0, 3, 27
"c:\Users\nk23a\OneDrive\Desktop\Work\DigitalMediaWebsite\digitalmedia\src\index.css", "CSS", 0, 16, 0, 0, 1, 17
"c:\Users\nk23a\OneDrive\Desktop\Work\DigitalMediaWebsite\digitalmedia\src\index.js", "JavaScript", 12, 0, 0, 3, 3, 18
"c:\Users\nk23a\OneDrive\Desktop\Work\DigitalMediaWebsite\digitalmedia\src\logo.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\nk23a\OneDrive\Desktop\Work\DigitalMediaWebsite\digitalmedia\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\nk23a\OneDrive\Desktop\Work\DigitalMediaWebsite\digitalmedia\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 378, 75, 1, 15, 82, 551
